Epoch,Step,Total,CE,route
1,0,4.381231307983398,4.435230255126953,-0.05399913340806961
1,10,4.788580417633057,4.832446575164795,-0.043866392225027084
1,20,3.9740941524505615,4.042340278625488,-0.06824611872434616
1,30,3.748319625854492,3.824446678161621,-0.07612698525190353
1,40,3.5790421962738037,3.6765949726104736,-0.09755269438028336
2,0,3.6330459117889404,3.7220451831817627,-0.08899929374456406
2,10,3.550055503845215,3.6320641040802,-0.0820084810256958
2,20,3.6235620975494385,3.7143707275390625,-0.09080865234136581
2,30,3.4778635501861572,3.5810368061065674,-0.10317318886518478
2,40,3.467132091522217,3.5722124576568604,-0.10508044809103012
3,0,3.411674976348877,3.5184624195098877,-0.10678732395172119
3,10,3.3583481311798096,3.4582254886627197,-0.099877268075943
3,20,3.4979395866394043,3.6065001487731934,-0.10856061428785324
3,30,3.3877532482147217,3.4937751293182373,-0.1060219407081604
3,40,3.3267741203308105,3.4430246353149414,-0.11625058948993683
4,0,3.2328343391418457,3.3498406410217285,-0.11700620502233505
4,10,3.2149136066436768,3.335038185119629,-0.12012457102537155
4,20,3.065321922302246,3.2045748233795166,-0.1392529308795929
4,30,3.0477471351623535,3.185796022415161,-0.1380489021539688
4,40,3.0726263523101807,3.195056438446045,-0.12243002653121948
5,0,3.15384840965271,3.2803549766540527,-0.1265064775943756
5,10,3.2616677284240723,3.3755149841308594,-0.1138472929596901
5,20,3.0795748233795166,3.2044870853424072,-0.12491216510534286
5,30,3.101980209350586,3.2338316440582275,-0.13185131549835205
5,40,2.998044967651367,3.1231424808502197,-0.12509749829769135
6,0,2.9755139350891113,3.111081600189209,-0.13556762039661407
6,10,2.944194793701172,3.0967469215393066,-0.15255211293697357
6,20,3.0444462299346924,3.181199073791504,-0.13675276935100555
6,30,2.8840279579162598,3.0316293239593506,-0.1476014256477356
6,40,2.9429397583007812,3.091228723526001,-0.14828889071941376
7,0,2.9709272384643555,3.1182055473327637,-0.14727826416492462
7,10,2.7332828044891357,2.889616012573242,-0.15633322298526764
7,20,2.944535493850708,3.0888400077819824,-0.14430461823940277
7,30,2.8265063762664795,2.9863855838775635,-0.15987925231456757
7,40,2.875948429107666,3.030963897705078,-0.15501542389392853
8,0,2.6231658458709717,2.7885749340057373,-0.16540904343128204
8,10,2.5261783599853516,2.6910054683685303,-0.16482709348201752
8,20,2.6854944229125977,2.8358583450317383,-0.15036402642726898
8,30,2.6453099250793457,2.8020148277282715,-0.15670490264892578
8,40,2.4701614379882812,2.642209529876709,-0.17204821109771729
9,0,2.496410369873047,2.6603667736053467,-0.16395632922649384
9,10,2.3314661979675293,2.5061795711517334,-0.17471347749233246
9,20,2.5841894149780273,2.751295566558838,-0.16710613667964935
9,30,2.675565481185913,2.849567413330078,-0.17400197684764862
9,40,2.4543282985687256,2.632284641265869,-0.17795631289482117
10,0,2.5076723098754883,2.678143262863159,-0.17047107219696045
10,10,2.4903481006622314,2.6619369983673096,-0.17158885300159454
10,20,2.2664127349853516,2.4527499675750732,-0.18633727729320526
10,30,2.444143295288086,2.6109468936920166,-0.16680361330509186
10,40,2.490366220474243,2.6714258193969727,-0.18105967342853546
11,0,2.2284035682678223,2.413189649581909,-0.18478618562221527
11,10,2.4893059730529785,2.6574039459228516,-0.16809803247451782
11,20,2.44033145904541,2.626923084259033,-0.18659162521362305
11,30,2.272832155227661,2.4616189002990723,-0.1887868046760559
11,40,2.1434009075164795,2.3266305923461914,-0.1832297146320343
12,0,2.2545671463012695,2.459104061126709,-0.20453687012195587
12,10,2.3127219676971436,2.5084145069122314,-0.19569259881973267
12,20,2.0878968238830566,2.2808711528778076,-0.1929742395877838
12,30,2.205052614212036,2.3906943798065186,-0.18564166128635406
12,40,2.0871734619140625,2.276540756225586,-0.18936720490455627
13,0,2.272294282913208,2.466769218444824,-0.1944749504327774
13,10,2.112985134124756,2.301100730895996,-0.18811555206775665
13,20,2.226531982421875,2.4225025177001953,-0.19597052037715912
13,30,2.3053805828094482,2.5053367614746094,-0.19995608925819397
13,40,2.1120898723602295,2.3017055988311768,-0.18961575627326965
14,0,2.023955821990967,2.2325940132141113,-0.20863814651966095
14,10,1.9339627027511597,2.1379950046539307,-0.204032301902771
14,20,2.1324350833892822,2.344869375228882,-0.21243436634540558
14,30,2.002915382385254,2.19657039642334,-0.19365499913692474
14,40,2.052051544189453,2.258183240890503,-0.20613160729408264
15,0,1.9249337911605835,2.132763147354126,-0.20782938599586487
15,10,1.9145276546478271,2.1131768226623535,-0.19864921271800995
15,20,1.8272395133972168,2.0558483600616455,-0.2286088466644287
15,30,1.7218717336654663,1.9373308420181274,-0.21545906364917755
15,40,1.8816072940826416,2.1058859825134277,-0.22427868843078613
16,0,1.7748851776123047,1.998658537864685,-0.22377336025238037
16,10,1.733297348022461,1.9654638767242432,-0.2321665734052658
16,20,1.723102331161499,1.9514195919036865,-0.2283172905445099
16,30,2.027304172515869,2.2195682525634766,-0.19226419925689697
16,40,1.580230712890625,1.7982466220855713,-0.2180159091949463
17,0,1.6946594715118408,1.9159674644470215,-0.22130803763866425
17,10,1.6134939193725586,1.8351819515228271,-0.22168807685375214
17,20,1.6694297790527344,1.8979156017303467,-0.22848577797412872
17,30,1.7068322896957397,1.9293636083602905,-0.22253131866455078
17,40,1.563517451286316,1.7884581089019775,-0.2249407023191452
18,0,1.5015078783035278,1.739554762840271,-0.23804692924022675
18,10,1.7639973163604736,1.986793041229248,-0.2227957546710968
18,20,1.609322428703308,1.8304191827774048,-0.22109678387641907
18,30,1.5678619146347046,1.8148528337478638,-0.24699091911315918
18,40,1.7339074611663818,1.9508424997329712,-0.21693503856658936
19,0,1.6293725967407227,1.8610217571258545,-0.23164914548397064
19,10,1.5645725727081299,1.7971946001052856,-0.23262198269367218
19,20,1.7241158485412598,1.9694453477859497,-0.24532945454120636
19,30,1.6747409105300903,1.9114885330200195,-0.2367476224899292
19,40,1.6148607730865479,1.843702793121338,-0.22884202003479004
20,0,1.463718295097351,1.724232792854309,-0.260514497756958
20,10,1.6354185342788696,1.8724117279052734,-0.23699317872524261
20,20,1.3895561695098877,1.6354318857192993,-0.24587567150592804
20,30,1.502670168876648,1.7374765872955322,-0.23480640351772308
20,40,1.625436782836914,1.8464386463165283,-0.22100181877613068
21,0,1.432688593864441,1.6843440532684326,-0.2516554296016693
21,10,1.6109949350357056,1.8483158349990845,-0.23732085525989532
21,20,1.4277209043502808,1.686029314994812,-0.25830841064453125
21,30,1.4427506923675537,1.6846624612808228,-0.24191181361675262
21,40,1.4337682723999023,1.670704960823059,-0.23693671822547913
22,0,1.2271487712860107,1.500800371170044,-0.2736515402793884
22,10,1.38407564163208,1.6448001861572266,-0.2607245445251465
22,20,1.5512257814407349,1.7910338640213013,-0.2398081123828888
22,30,1.1049611568450928,1.3700015544891357,-0.26504039764404297
22,40,1.317082405090332,1.562512755393982,-0.2454303354024887
23,0,1.066587209701538,1.338667869567871,-0.2720807194709778
23,10,1.3683738708496094,1.6276153326034546,-0.2592414915561676
23,20,1.4226900339126587,1.6876986026763916,-0.2650085389614105
23,30,1.4923386573791504,1.7258127927780151,-0.23347418010234833
23,40,1.516784429550171,1.7481437921524048,-0.23135939240455627
24,0,1.3088124990463257,1.5712885856628418,-0.2624760568141937
24,10,1.5345396995544434,1.778301477432251,-0.24376176297664642
24,20,1.2137818336486816,1.4784748554229736,-0.2646929919719696
24,30,1.1440895795822144,1.3929330110549927,-0.24884338676929474
24,40,1.3162895441055298,1.5619220733642578,-0.24563255906105042
25,0,1.2311346530914307,1.496512770652771,-0.26537808775901794
25,10,1.3515753746032715,1.5929733514785767,-0.24139800667762756
25,20,1.148364782333374,1.4095672369003296,-0.2612023949623108
