epoch,train_all,train_many,train_median,train_low,val_all,val_many,val_median,val_low,val_fscore
1,0.044177827380952384,0.047651427861262065,0.014029583766902607,0.006666666666666667,0.0326,0.08571428571428572,0.004857142857142858,0.003,0.00825820312781814
2,0.0880766369047619,0.09637383094433709,0.03797348504082813,0.0125,0.0528,0.11285714285714285,0.03542857142857143,0.003,0.018596323428539088
3,0.12360491071428571,0.13391436544358495,0.03348834362968693,0.0125,0.0791,0.09771428571428571,0.11057142857142854,0.020666666666666667,0.03783424262455575
4,0.1500186011904762,0.15875311603856826,0.08011908133666483,0.012268518518518519,0.0759,0.1474285714285714,0.057142857142857134,0.014333333333333335,0.046163730797184
5,0.166015625,0.16923096656022638,0.10116899398500556,0.02113697705802969,0.0954,0.14085714285714285,0.1217142857142857,0.011666666666666665,0.06119486265982574
6,0.20107886904761904,0.20489573224596358,0.10644622841590985,0.02972810814916078,0.1207,0.20085714285714285,0.138,0.007000000000000001,0.07647816764863694
7,0.21902901785714285,0.22623356020128813,0.1410683322100066,0.025643274853801173,0.1253,0.2,0.12657142857142856,0.03666666666666666,0.09456165669993911
8,0.23549107142857142,0.24081706507705952,0.146212299756193,0.04611300979722032,0.1451,0.25114285714285717,0.1537142857142857,0.011333333333333334,0.09804529181081845
9,0.2701822916666667,0.2782947021727788,0.1731221997509111,0.0474307003912267,0.1344,0.22714285714285715,0.12514285714285714,0.037000000000000005,0.09400472002879048
10,0.2908296130952381,0.3026673449262924,0.18101384730680126,0.07634775068985596,0.1503,0.27485714285714286,0.13314285714285712,0.025,0.12000945864495866
11,0.29994419642857145,0.3106212621944679,0.21681210033389306,0.08636253996548114,0.1636,0.264,0.16314285714285712,0.04700000000000001,0.12903932123159645
12,0.3341703869047619,0.3493280544747824,0.2365795067346003,0.07643217893217893,0.1876,0.30885714285714283,0.19628571428571426,0.03600000000000001,0.16045390322487982
13,0.3444940476190476,0.3597823847375201,0.2445268594427249,0.0714463776963777,0.2013,0.30685714285714294,0.19714285714285712,0.08299999999999999,0.17388359235606882
14,0.37146577380952384,0.3828114279725356,0.2729952287353661,0.1272502278423331,0.16,0.27285714285714285,0.13342857142857142,0.059333333333333335,0.13452133443167485
15,0.3828125,0.398753424366212,0.2928046521844286,0.15740402141717932,0.1919,0.3037142857142857,0.17400000000000002,0.08233333333333333,0.16478395178070085
16,0.40531994047619047,0.41552554843132317,0.3161349657168243,0.15433770664033822,0.2296,0.38485714285714295,0.20285714285714282,0.07966666666666665,0.1977180198534509
17,0.42429315476190477,0.4438818037879259,0.3144166177595172,0.15665859725070252,0.2308,0.36428571428571427,0.21714285714285714,0.09100000000000001,0.2018910450154737
18,0.43601190476190477,0.45189519178802073,0.3369277566907666,0.16728582820688084,0.2104,0.2825714285714286,0.21685714285714286,0.11866666666666664,0.190938194363699
19,0.45200892857142855,0.46649540430179054,0.3645443726207217,0.18765705542021335,0.2156,0.3231428571428572,0.20142857142857143,0.10666666666666666,0.1857914781244245
20,0.46651785714285715,0.4879072313619801,0.3598680502564504,0.165565949931275,0.2392,0.33285714285714285,0.23457142857142854,0.13533333333333333,0.2100739617421311
21,0.46707589285714285,0.47803148424146696,0.39227241496088266,0.2926584068379734,0.2219,0.3588571428571429,0.20571428571428574,0.081,0.1958704174206489
22,0.49228050595238093,0.5079975453792125,0.3869865787099858,0.2746165208200812,0.242,0.39428571428571435,0.216,0.09466666666666666,0.22179084272213095
23,0.48735119047619047,0.5026121622039439,0.3990713919604693,0.2583077438843693,0.2136,0.3314285714285714,0.20057142857142857,0.0913333333333333,0.19677342313023563
24,0.5052083333333334,0.5201940308345612,0.40507611159668117,0.2994021424052384,0.2509,0.3982857142857143,0.21,0.12666666666666665,0.22364756594003046
25,0.5189732142857143,0.5381522346816929,0.4343678877936345,0.29535137420199337,0.271,0.384,0.2662857142857143,0.14466666666666664,0.24615145907670516
26,0.5229724702380952,0.5419708732570554,0.4351795512933239,0.31584607300164574,0.2661,0.37057142857142855,0.25599999999999995,0.156,0.24790913499500028
27,0.5360863095238095,0.553483606376051,0.4383454000778224,0.3272854405942641,0.2663,0.3337142857142857,0.2974285714285714,0.15133333333333335,0.2435456087829062
28,0.5445498511904762,0.56717711527006,0.44276003437338546,0.3427043657809911,0.2658,0.3545714285714286,0.2531428571428571,0.17699999999999996,0.25071320749122317
29,0.5413876488095238,0.5589086291006379,0.4684162554002454,0.3620120048796519,0.2525,0.3751428571428571,0.26228571428571423,0.098,0.2263206327808521
30,0.5612909226190477,0.5774690367877927,0.49806434777125047,0.36977557959756097,0.2783,0.3985714285714286,0.31142857142857144,0.09933333333333334,0.2553269966497882
31,0.5731026785714286,0.5888041959435816,0.5126943337660724,0.38171399378055715,0.2425,0.36428571428571427,0.23685714285714288,0.10699999999999998,0.21861186043346595
32,0.5663132440476191,0.5871876787612039,0.47593833243127914,0.4167903859699525,0.265,0.4162857142857143,0.24542857142857147,0.11133333333333331,0.2417496813095555
33,0.5801711309523809,0.5963852365950586,0.49587490434524223,0.4100352156157109,0.2451,0.3385714285714286,0.2502857142857142,0.13,0.2384678426915598
34,0.5852864583333334,0.6038262921769115,0.5153717665881848,0.3957156567489385,0.2694,0.36628571428571427,0.27771428571428575,0.14666666666666667,0.26773154123265863
35,0.5844494047619048,0.6025942823890801,0.5025139589741644,0.4130163650132691,0.281,0.3574285714285715,0.3085714285714286,0.15966666666666665,0.26289305864904955
36,0.5971912202380952,0.6181541976231187,0.5350836963168265,0.43767223016062023,0.2574,0.3345714285714286,0.26457142857142857,0.15899999999999997,0.24565758947660474
37,0.5832403273809523,0.5953057848508564,0.5394190714878961,0.43492313786431436,0.2431,0.3508571428571428,0.216,0.14899999999999997,0.2234528688449065
38,0.6036086309523809,0.6229076971189438,0.5324375704577561,0.42129212921008585,0.2627,0.3414285714285714,0.2914285714285715,0.1373333333333333,0.24718023009568085
39,0.6096540178571429,0.6263929717576778,0.5631523297138822,0.46002198810248346,0.2965,0.3685714285714286,0.3348571428571428,0.16766666666666669,0.27270026796998104
40,0.6223958333333334,0.6339158573547596,0.5750019749317086,0.48266972650099593,0.2977,0.392,0.3217142857142858,0.1596666666666667,0.2817367365262469
41,0.6222098214285714,0.6359835399590322,0.5794361824513765,0.5023638796703812,0.2284,0.33942857142857147,0.22657142857142856,0.10099999999999999,0.21517319258338982
42,0.6326264880952381,0.6467162276272291,0.5783605383996064,0.46748351422113027,0.2932,0.39399999999999996,0.31428571428571433,0.15099999999999994,0.2741946428985628
43,0.6223958333333334,0.6316779816344871,0.5839879391574025,0.4968401505901505,0.2443,0.2905714285714286,0.2731428571428572,0.15666666666666668,0.23380299568468227
44,0.6303013392857143,0.6472062986611277,0.5784546995728145,0.48029228625977854,0.293,0.4005714285714285,0.28257142857142853,0.1796666666666667,0.27583741534226175
45,0.6327194940476191,0.642681482629265,0.5920711016022591,0.49413488300485203,0.2854,0.3291428571428572,0.35114285714285715,0.15766666666666665,0.2657401654392283
46,0.6483444940476191,0.661710594711551,0.5958850401998967,0.4967178243726231,0.2269,0.3237142857142858,0.21885714285714283,0.12333333333333334,0.21668531591884854
47,0.6447172619047619,0.6563523164307788,0.6086176938482895,0.5158688059732951,0.2788,0.3417142857142857,0.31885714285714284,0.15866666666666662,0.259369273435069
48,0.6551339285714286,0.6646022978015187,0.6311203566429147,0.5830433292197998,0.3055,0.3654285714285714,0.3202857142857143,0.21833333333333332,0.2899886765129542
49,0.6623883928571429,0.6813249659588494,0.6187702383013638,0.5222592308505621,0.3345,0.47457142857142853,0.28885714285714287,0.22433333333333336,0.31366962981414703
50,0.6516927083333334,0.6699735415383132,0.5823354812534326,0.5505540792769895,0.3177,0.3945714285714286,0.3414285714285714,0.20033333333333334,0.30690519932722443
51,0.6630394345238095,0.6716462736232022,0.6283903865181341,0.5750816437890742,0.2881,0.3791428571428571,0.3097142857142857,0.15666666666666668,0.26501616111282456
52,0.6702938988095238,0.6831681062005914,0.63749660862114,0.5819387410834781,0.2806,0.4074285714285714,0.28085714285714286,0.13233333333333333,0.2771730713221395
53,0.6646205357142857,0.6785368812575445,0.6261747600317378,0.5857330649513312,0.2879,0.4202857142857143,0.29171428571428576,0.129,0.28413434669589055
54,0.6746651785714286,0.6904075933853245,0.6342209195489507,0.6033283930265354,0.3244,0.47457142857142853,0.29714285714285715,0.18100000000000002,0.30470826088546077
